"city","country","pop2024","latitude","longitude"
"Bluewater","Canada",7044,43.4668,-81.5998
"Coaticook","Canada",7021,45.1334,-71.7991
"Hampstead","Canada",6996,45.4806,-73.6631
"Olds","Canada",6947,51.7834,-114.102
"Greenwood","Canada",6915,44.9741,-64.9317
"Gibsons","Canada",6821,49.3954,-123.506
"Carbonear","Canada",6814,47.7332,-53.2148
"Saint-Zotique","Canada",6773,45.2501,-74.2492
"Kincardine","Canada",6725,44.1834,-81.6331
"Plessisville","Canada",6677,46.2186,-71.762
"Brownsburg-Chatham","Canada",6664,45.6834,-74.4159
"Ponoka","Canada",6656,52.6768,-113.581
"Mont-Joli","Canada",6568,48.5839,-68.1921
"Rocky Mountain House","Canada",6527,52.3668,-114.919
"Kimberley","Canada",6513,49.6707,-115.978
"Perth","Canada",6481,44.9001,-76.2494
"Parry Sound","Canada",6469,45.3473,-80.0353
"Pointe-Calumet","Canada",6396,45.5001,-73.9659
"Morden","Canada",6395,49.1919,-98.1014
"Coaldale","Canada",6317,49.7167,-112.619
"Summerland","Canada",6292,49.5998,-119.669
"Stephenville","Canada",6278,48.55,-58.5818
"Amqui","Canada",6261,48.4638,-67.4313
"Beauceville","Canada",6226,46.2178,-70.7787
"Saint-Joseph-du-Lac","Canada",6195,45.5334,-73.9992
"Sooke","Canada",6145,48.3746,-123.728
"Iqaluit","Canada",6124,63.747,-68.5173
"Drayton Valley","Canada",6099,53.2168,-114.985
"Farnham","Canada",6061,45.2834,-72.9824
"The Pas","Canada",6055,53.8251,-101.254
"Bromont","Canada",6049,45.3168,-72.6491
"Saint-Felix-de-Valois","Canada",6029,46.1698,-73.4252
